               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1255,            0.026518,            0.046405,          0.00023951,             0.02193,          0.00015411,          2.8606e-05,             0.12328,            0.019123,            0.043011,              0.0847,              0.0017,              0.0017
                   1,             0.10974,            0.025608,            0.035719,          0.00031484,            0.065789,          0.00080811,          0.00017158,             0.11736,             0.01683,            0.025473,            0.068488,           0.0034885,           0.0034885
                   2,            0.097264,            0.030214,            0.027119,             0.75172,             0.04386,            0.004486,           0.0006996,             0.11136,            0.022377,            0.022311,            0.052265,            0.005265,            0.005265
                   3,            0.090193,            0.030644,             0.02251,             0.52722,             0.21316,            0.015679,           0.0035824,            0.097073,            0.024445,            0.015756,             0.03603,           0.0070297,           0.0070297
                   4,            0.085819,            0.032275,            0.018742,            0.010776,             0.35811,            0.011964,            0.002365,             0.11246,            0.022301,            0.019131,            0.019783,           0.0087825,           0.0087825
                   5,            0.083671,            0.028761,            0.017248,             0.30596,              0.1353,            0.038565,           0.0079958,            0.098616,            0.030617,            0.021704,            0.009835,            0.009835,            0.009835
                   6,            0.080851,            0.029868,            0.014943,             0.30169,             0.10687,            0.027609,           0.0065136,            0.091995,            0.028233,            0.019522,            0.009835,            0.009835,            0.009835
                   7,            0.077142,            0.029724,            0.012968,             0.31504,             0.11978,            0.035964,            0.013028,             0.10869,            0.025009,            0.018005,            0.009802,            0.009802,            0.009802
                   8,            0.072821,            0.028398,            0.011039,             0.35513,             0.14787,            0.060922,            0.015084,            0.089448,            0.022259,            0.013635,            0.009769,            0.009769,            0.009769
                   9,            0.072593,            0.027915,            0.010416,             0.42648,             0.12439,              0.1031,            0.023758,            0.080308,            0.022257,            0.016803,            0.009736,            0.009736,            0.009736
                  10,            0.069918,             0.02649,            0.009808,             0.47012,             0.21334,             0.13819,            0.036169,            0.077179,            0.022099,            0.012714,            0.009703,            0.009703,            0.009703
                  11,            0.069184,             0.02703,            0.009532,             0.43558,             0.26575,             0.15633,            0.042346,            0.071288,            0.024952,            0.011647,             0.00967,             0.00967,             0.00967
                  12,            0.067874,            0.026772,           0.0083087,             0.54479,              0.1879,              0.1482,            0.046098,            0.076358,            0.021717,            0.013156,            0.009637,            0.009637,            0.009637
                  13,            0.067399,            0.027687,           0.0086046,             0.48587,              0.2372,             0.18269,            0.056241,            0.072212,            0.022081,            0.010948,            0.009604,            0.009604,            0.009604
                  14,            0.066141,            0.026511,           0.0074961,             0.52868,             0.33717,             0.26021,            0.082391,            0.066365,            0.020731,           0.0098419,            0.009571,            0.009571,            0.009571
                  15,            0.064669,            0.028164,           0.0064603,             0.49302,             0.23948,             0.18535,            0.052302,            0.070762,            0.021612,            0.010405,            0.009538,            0.009538,            0.009538
                  16,            0.063286,            0.027224,           0.0064922,             0.52475,             0.27232,             0.24689,            0.072181,             0.06717,            0.019522,           0.0096237,            0.009505,            0.009505,            0.009505
                  17,            0.063455,            0.026725,           0.0061752,             0.57774,             0.29788,             0.34739,             0.10437,            0.065957,            0.021833,            0.012135,            0.009472,            0.009472,            0.009472
                  18,            0.062387,            0.025659,           0.0062072,              0.4847,             0.25161,             0.30892,             0.10841,            0.067658,            0.020107,             0.01154,            0.009439,            0.009439,            0.009439
                  19,            0.059783,            0.026049,           0.0062665,             0.67299,             0.23393,             0.31017,            0.093872,            0.065406,            0.020519,            0.011113,            0.009406,            0.009406,            0.009406
                  20,            0.061373,            0.026198,           0.0054644,             0.56561,             0.28671,             0.28954,            0.091079,            0.066249,            0.020042,            0.012308,            0.009373,            0.009373,            0.009373
                  21,            0.060178,             0.02672,           0.0054888,              0.6323,             0.37384,             0.36656,             0.12057,            0.064044,            0.020439,            0.010571,             0.00934,             0.00934,             0.00934
                  22,            0.058601,            0.026238,           0.0056697,             0.55818,             0.31387,             0.32165,            0.098276,            0.063002,            0.020573,            0.011261,            0.009307,            0.009307,            0.009307
                  23,            0.059206,            0.026314,           0.0060121,             0.54266,             0.31376,             0.27884,             0.10641,            0.067596,            0.021408,            0.011313,            0.009274,            0.009274,            0.009274
                  24,            0.060314,            0.027032,            0.004645,             0.56134,             0.23226,             0.26232,             0.10219,            0.066819,            0.021378,            0.011664,            0.009241,            0.009241,            0.009241
                  25,             0.05745,            0.025595,           0.0046688,             0.61563,             0.30822,             0.39468,             0.13456,            0.065986,            0.021378,              0.0119,            0.009208,            0.009208,            0.009208
                  26,            0.058044,            0.025886,           0.0049915,             0.62063,             0.29948,             0.37253,             0.11593,             0.06391,            0.020853,            0.011365,            0.009175,            0.009175,            0.009175
                  27,            0.057428,             0.02561,           0.0049982,             0.60702,             0.31739,             0.35283,             0.11004,            0.066877,            0.020365,            0.011035,            0.009142,            0.009142,            0.009142
                  28,            0.056684,            0.024058,           0.0043248,              0.6914,              0.3481,             0.40356,             0.13938,            0.063253,                0.02,            0.011864,            0.009109,            0.009109,            0.009109
                  29,            0.055971,            0.024029,           0.0048539,             0.61429,             0.32554,             0.36844,             0.11908,            0.060058,            0.019562,            0.010724,            0.009076,            0.009076,            0.009076
                  30,             0.05618,            0.024861,           0.0037205,             0.64165,             0.27036,             0.34731,             0.11194,            0.063171,            0.019272,             0.01064,            0.009043,            0.009043,            0.009043
                  31,            0.056087,            0.024337,           0.0038612,             0.71002,             0.32541,             0.39191,             0.14182,            0.061749,             0.02051,            0.010275,             0.00901,             0.00901,             0.00901
                  32,            0.056043,            0.024685,           0.0039205,             0.64004,             0.29228,             0.39164,             0.14815,            0.067808,            0.020996,              0.0112,            0.008977,            0.008977,            0.008977
