               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12556,            0.026183,            0.046227,          8.5426e-05,           0.0087719,          4.7108e-05,          7.0892e-06,              0.1231,            0.018101,            0.042468,              0.0847,              0.0017,              0.0017
                   1,             0.10907,            0.025553,            0.035083,           0.0012014,            0.098684,           0.0014687,          0.00036995,             0.11793,            0.016834,            0.025699,            0.068488,           0.0034885,           0.0034885
                   2,            0.096418,            0.030715,            0.026791,             0.75533,            0.030702,           0.0025045,          0.00050023,             0.10953,            0.022327,            0.022192,            0.052265,            0.005265,            0.005265
                   3,            0.088548,            0.031712,            0.022053,             0.51836,            0.086842,            0.009383,           0.0016023,             0.10559,            0.022266,            0.015875,             0.03603,           0.0070297,           0.0070297
                   4,            0.084079,            0.030121,            0.019174,             0.65762,             0.13596,            0.098283,             0.02581,            0.099213,            0.022961,            0.015427,            0.019783,           0.0087825,           0.0087825
                   5,            0.082891,            0.029653,            0.016283,             0.29023,            0.099182,            0.022835,           0.0049627,            0.089722,            0.022068,            0.015036,            0.009835,            0.009835,            0.009835
                   6,            0.078823,            0.031014,            0.014234,             0.33559,             0.21439,            0.060443,            0.014671,             0.09355,             0.02223,            0.014453,            0.009835,            0.009835,            0.009835
                   7,            0.075661,            0.028031,            0.011944,             0.37009,             0.12341,            0.070331,             0.01857,            0.083983,            0.023548,            0.015421,            0.009802,            0.009802,            0.009802
                   8,            0.073356,            0.028431,            0.011303,             0.43405,             0.17438,             0.10135,            0.029485,            0.093495,            0.018663,            0.016232,            0.009769,            0.009769,            0.009769
                   9,            0.071276,             0.02668,           0.0095796,             0.50001,            0.065764,            0.052361,            0.017366,             0.10042,            0.020466,            0.013686,            0.009736,            0.009736,            0.009736
                  10,            0.070694,             0.02734,           0.0089892,             0.50812,             0.22059,              0.1557,            0.047233,            0.073524,            0.020926,            0.011862,            0.009703,            0.009703,            0.009703
                  11,             0.06585,            0.027587,           0.0091311,             0.48143,             0.28191,             0.20185,            0.063716,            0.070961,            0.020515,            0.010068,             0.00967,             0.00967,             0.00967
                  12,            0.067529,            0.025992,           0.0077647,             0.54596,             0.19931,             0.19646,            0.055619,            0.069523,            0.021297,            0.011598,            0.009637,            0.009637,            0.009637
                  13,            0.066853,            0.027244,           0.0076872,             0.45786,             0.23424,             0.18011,            0.048178,            0.073902,            0.020489,            0.014093,            0.009604,            0.009604,            0.009604
                  14,            0.065707,            0.026021,           0.0070905,             0.55238,              0.2034,             0.19169,             0.06793,            0.074523,            0.019543,             0.01255,            0.009571,            0.009571,            0.009571
                  15,            0.064942,            0.027424,           0.0073516,             0.46965,             0.22939,             0.20915,            0.069504,            0.075519,            0.021132,            0.015396,            0.009538,            0.009538,            0.009538
                  16,            0.061808,            0.027114,           0.0063783,             0.53626,             0.25548,             0.26352,            0.068438,            0.069752,            0.019981,            0.011188,            0.009505,            0.009505,            0.009505
                  17,            0.063277,            0.027024,           0.0062327,             0.57486,             0.29539,             0.25222,            0.073809,            0.069865,            0.019909,            0.012367,            0.009472,            0.009472,            0.009472
                  18,            0.062423,            0.026696,           0.0062925,             0.62804,             0.30095,             0.30832,             0.10041,            0.065672,            0.019913,            0.011714,            0.009439,            0.009439,            0.009439
                  19,            0.061622,             0.02623,           0.0069888,             0.60473,             0.29735,             0.27447,            0.092828,            0.063709,            0.020733,            0.012326,            0.009406,            0.009406,            0.009406
                  20,            0.059732,            0.026229,           0.0046642,             0.62019,              0.3284,             0.31225,             0.09197,            0.066926,            0.019863,            0.011703,            0.009373,            0.009373,            0.009373
                  21,            0.060456,            0.025816,           0.0056015,             0.62676,             0.36765,              0.3706,             0.12034,            0.062505,            0.019442,            0.011299,             0.00934,             0.00934,             0.00934
                  22,            0.059462,            0.025585,           0.0050836,             0.62405,             0.32367,             0.34934,              0.1001,            0.064198,            0.019016,            0.011043,            0.009307,            0.009307,            0.009307
                  23,            0.060012,            0.025566,           0.0046163,             0.56143,             0.34092,             0.32569,            0.096609,             0.06709,            0.019829,            0.012691,            0.009274,            0.009274,            0.009274
                  24,            0.058149,            0.027124,           0.0047494,             0.58588,             0.31396,             0.27547,            0.095112,            0.065138,            0.019672,            0.011768,            0.009241,            0.009241,            0.009241
                  25,            0.057233,            0.024219,           0.0046247,             0.56349,             0.36704,             0.32393,             0.09769,            0.066055,            0.020378,            0.010255,            0.009208,            0.009208,            0.009208
                  26,            0.056813,            0.025987,            0.004155,             0.65473,              0.3339,             0.31651,            0.099177,            0.065061,            0.020052,            0.010109,            0.009175,            0.009175,            0.009175
                  27,            0.057465,            0.023645,           0.0044968,             0.65976,             0.35898,             0.35044,             0.10381,            0.064175,            0.020428,            0.010152,            0.009142,            0.009142,            0.009142
                  28,            0.057587,            0.024906,           0.0041896,             0.63897,             0.31222,             0.36529,             0.14164,            0.064261,            0.019363,           0.0097153,            0.009109,            0.009109,            0.009109
                  29,            0.056493,            0.024511,           0.0051601,             0.67543,             0.34324,             0.40083,             0.13916,            0.062428,                0.02,            0.011285,            0.009076,            0.009076,            0.009076
                  30,            0.058225,            0.024582,           0.0037461,              0.6557,             0.27378,             0.35512,            0.099679,            0.064506,            0.019722,            0.010597,            0.009043,            0.009043,            0.009043
                  31,             0.05642,            0.023075,           0.0041871,             0.57492,             0.29808,             0.31758,             0.11961,            0.065622,            0.019733,            0.012531,             0.00901,             0.00901,             0.00901
                  32,            0.056143,              0.0258,           0.0041427,             0.67763,             0.32218,             0.38927,             0.13182,            0.065698,            0.019989,            0.011687,            0.008977,            0.008977,            0.008977
                  33,            0.056409,            0.025864,            0.003354,             0.67764,             0.28919,             0.41244,             0.12425,            0.064468,            0.021437,            0.011922,            0.008944,            0.008944,            0.008944
                   0,              0.1255,            0.026518,            0.046405,          0.00023951,             0.02193,          0.00015411,          2.8606e-05,             0.12328,            0.019123,            0.043011,              0.0847,              0.0017,              0.0017
                   1,             0.10974,            0.025608,            0.035719,          0.00031484,            0.065789,          0.00080811,          0.00017158,             0.11736,             0.01683,            0.025473,            0.068488,           0.0034885,           0.0034885
                   2,            0.097264,            0.030214,            0.027119,             0.75172,             0.04386,            0.004486,           0.0006996,             0.11136,            0.022377,            0.022311,            0.052265,            0.005265,            0.005265
                   3,            0.090193,            0.030644,             0.02251,             0.52722,             0.21316,            0.015679,           0.0035824,            0.097073,            0.024445,            0.015756,             0.03603,           0.0070297,           0.0070297
                   4,            0.085819,            0.032275,            0.018742,            0.010776,             0.35811,            0.011964,            0.002365,             0.11246,            0.022301,            0.019131,            0.019783,           0.0087825,           0.0087825
                   5,            0.083671,            0.028761,            0.017248,             0.30596,              0.1353,            0.038565,           0.0079958,            0.098616,            0.030617,            0.021704,            0.009835,            0.009835,            0.009835
                   6,            0.080851,            0.029868,            0.014943,             0.30169,             0.10687,            0.027609,           0.0065136,            0.091995,            0.028233,            0.019522,            0.009835,            0.009835,            0.009835
                   7,            0.077142,            0.029724,            0.012968,             0.31504,             0.11978,            0.035964,            0.013028,             0.10869,            0.025009,            0.018005,            0.009802,            0.009802,            0.009802
                   8,            0.072821,            0.028398,            0.011039,             0.35513,             0.14787,            0.060922,            0.015084,            0.089448,            0.022259,            0.013635,            0.009769,            0.009769,            0.009769
                   9,            0.072593,            0.027915,            0.010416,             0.42648,             0.12439,              0.1031,            0.023758,            0.080308,            0.022257,            0.016803,            0.009736,            0.009736,            0.009736
                  10,            0.069918,             0.02649,            0.009808,             0.47012,             0.21334,             0.13819,            0.036169,            0.077179,            0.022099,            0.012714,            0.009703,            0.009703,            0.009703
                  11,            0.069184,             0.02703,            0.009532,             0.43558,             0.26575,             0.15633,            0.042346,            0.071288,            0.024952,            0.011647,             0.00967,             0.00967,             0.00967
                  12,            0.067874,            0.026772,           0.0083087,             0.54479,              0.1879,              0.1482,            0.046098,            0.076358,            0.021717,            0.013156,            0.009637,            0.009637,            0.009637
                  13,            0.067399,            0.027687,           0.0086046,             0.48587,              0.2372,             0.18269,            0.056241,            0.072212,            0.022081,            0.010948,            0.009604,            0.009604,            0.009604
                  14,            0.066141,            0.026511,           0.0074961,             0.52868,             0.33717,             0.26021,            0.082391,            0.066365,            0.020731,           0.0098419,            0.009571,            0.009571,            0.009571
                  15,            0.064669,            0.028164,           0.0064603,             0.49302,             0.23948,             0.18535,            0.052302,            0.070762,            0.021612,            0.010405,            0.009538,            0.009538,            0.009538
                  16,            0.063286,            0.027224,           0.0064922,             0.52475,             0.27232,             0.24689,            0.072181,             0.06717,            0.019522,           0.0096237,            0.009505,            0.009505,            0.009505
                  17,            0.063455,            0.026725,           0.0061752,             0.57774,             0.29788,             0.34739,             0.10437,            0.065957,            0.021833,            0.012135,            0.009472,            0.009472,            0.009472
                  18,            0.062387,            0.025659,           0.0062072,              0.4847,             0.25161,             0.30892,             0.10841,            0.067658,            0.020107,             0.01154,            0.009439,            0.009439,            0.009439
                  19,            0.059783,            0.026049,           0.0062665,             0.67299,             0.23393,             0.31017,            0.093872,            0.065406,            0.020519,            0.011113,            0.009406,            0.009406,            0.009406
                  20,            0.061373,            0.026198,           0.0054644,             0.56561,             0.28671,             0.28954,            0.091079,            0.066249,            0.020042,            0.012308,            0.009373,            0.009373,            0.009373
                  21,            0.060178,             0.02672,           0.0054888,              0.6323,             0.37384,             0.36656,             0.12057,            0.064044,            0.020439,            0.010571,             0.00934,             0.00934,             0.00934
                  22,            0.058601,            0.026238,           0.0056697,             0.55818,             0.31387,             0.32165,            0.098276,            0.063002,            0.020573,            0.011261,            0.009307,            0.009307,            0.009307
                  23,            0.059206,            0.026314,           0.0060121,             0.54266,             0.31376,             0.27884,             0.10641,            0.067596,            0.021408,            0.011313,            0.009274,            0.009274,            0.009274
                  24,            0.060314,            0.027032,            0.004645,             0.56134,             0.23226,             0.26232,             0.10219,            0.066819,            0.021378,            0.011664,            0.009241,            0.009241,            0.009241
                  25,             0.05745,            0.025595,           0.0046688,             0.61563,             0.30822,             0.39468,             0.13456,            0.065986,            0.021378,              0.0119,            0.009208,            0.009208,            0.009208
