               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13293,            0.029103,            0.047874,          0.00023346,            0.026193,          0.00013352,          2.7522e-05,             0.12175,             0.02243,            0.041693,               0.091,               0.001,               0.001
                   1,             0.12357,             0.02809,            0.037437,          0.00051972,             0.10054,          0.00064045,          0.00013729,             0.11298,            0.022894,             0.03148,            0.081093,           0.0020931,           0.0020931
                   2,             0.11396,            0.028288,            0.028953,           0.0012174,              0.1745,           0.0014988,          0.00029346,             0.10891,            0.022261,            0.025888,            0.071179,           0.0031789,           0.0031789
                   3,             0.10454,            0.031374,            0.022392,             0.75657,              0.0625,           0.0061087,           0.0015451,             0.10342,            0.026367,            0.024593,            0.061257,           0.0042574,           0.0042574
                   4,            0.097391,            0.032658,            0.021257,             0.76609,            0.038043,            0.019934,           0.0053752,             0.10401,            0.027295,            0.022196,            0.051329,           0.0053287,           0.0053287
                   5,             0.09536,            0.032893,            0.018179,            0.066491,             0.22646,            0.045635,            0.012923,             0.10188,            0.023109,            0.016537,            0.041393,           0.0063927,           0.0063927
                   6,            0.091205,             0.03155,            0.016828,             0.17069,             0.12245,            0.079715,             0.01844,            0.089878,            0.022784,            0.013736,             0.03145,           0.0074495,           0.0074495
                   7,            0.088448,            0.031368,            0.015555,               0.183,             0.13893,            0.098468,            0.026685,             0.08846,             0.02111,            0.012718,            0.021499,            0.008499,            0.008499
                   8,            0.085558,            0.029817,            0.014064,             0.48654,             0.18151,             0.15668,            0.042572,            0.092545,            0.022366,            0.011459,            0.011541,           0.0095413,           0.0095413
                   9,            0.082022,            0.029523,            0.012219,             0.39353,             0.24177,             0.11639,            0.030424,            0.090762,            0.025469,            0.011191,            0.009703,            0.009703,            0.009703
                  10,            0.081395,            0.031183,            0.011301,             0.45177,             0.22763,             0.15475,            0.044161,            0.088841,             0.02258,           0.0094288,            0.009703,            0.009703,            0.009703
                  11,            0.076015,             0.03019,             0.01039,             0.46924,             0.28473,             0.18649,            0.067188,            0.077769,            0.022152,           0.0088593,             0.00967,             0.00967,             0.00967
                  12,            0.076263,            0.029516,            0.010502,             0.50266,             0.27861,             0.21414,            0.061088,            0.071321,            0.024369,           0.0082577,            0.009637,            0.009637,            0.009637
                  13,            0.071201,            0.026433,           0.0098801,             0.54824,             0.28445,             0.23283,            0.073547,            0.071097,            0.022631,            0.009053,            0.009604,            0.009604,            0.009604
                  14,            0.071318,             0.02789,           0.0089302,             0.45971,             0.29723,             0.17508,            0.052161,            0.075422,            0.024182,           0.0079126,            0.009571,            0.009571,            0.009571
                  15,             0.07018,            0.027675,           0.0088319,             0.43858,             0.33287,             0.17992,            0.053302,              0.0747,             0.02294,           0.0081642,            0.009538,            0.009538,            0.009538
                  16,            0.067613,              0.0282,           0.0080423,             0.63074,             0.32421,              0.2908,            0.094231,            0.070365,            0.025395,           0.0076094,            0.009505,            0.009505,            0.009505
                  17,            0.066253,             0.02924,           0.0073372,             0.61758,             0.39367,             0.32913,             0.10328,            0.063591,            0.023212,           0.0067078,            0.009472,            0.009472,            0.009472
                  18,            0.066814,            0.026379,           0.0075361,             0.62597,              0.3683,             0.33381,             0.10926,            0.065081,            0.024358,           0.0074993,            0.009439,            0.009439,            0.009439
                  19,            0.064238,            0.027789,           0.0062654,             0.56261,             0.37302,             0.29374,             0.10424,            0.064099,            0.023821,           0.0084709,            0.009406,            0.009406,            0.009406
                  20,            0.064677,            0.027535,           0.0064955,             0.61103,             0.37169,              0.3386,             0.13335,            0.062519,            0.023297,           0.0094307,            0.009373,            0.009373,            0.009373
                  21,            0.061326,              0.0276,           0.0064987,             0.61645,             0.38821,             0.36515,             0.11925,            0.065785,            0.022191,           0.0068012,             0.00934,             0.00934,             0.00934
                  22,             0.06132,            0.026928,           0.0065235,             0.55209,             0.38572,             0.30981,             0.10699,            0.064678,            0.023432,           0.0079021,            0.009307,            0.009307,            0.009307
                  23,            0.062681,            0.027984,            0.005595,             0.69383,             0.30217,             0.33888,             0.10897,            0.064072,            0.024632,           0.0077129,            0.009274,            0.009274,            0.009274
                  24,            0.061543,            0.027406,           0.0056119,             0.61532,             0.34167,             0.35694,             0.11283,            0.065692,            0.023315,           0.0066368,            0.009241,            0.009241,            0.009241
                  25,            0.060168,             0.02662,           0.0057608,             0.67801,              0.3728,             0.35056,             0.12627,            0.063108,            0.020859,           0.0059685,            0.009208,            0.009208,            0.009208
                  26,            0.061772,            0.028531,           0.0056121,             0.63413,             0.42455,               0.379,             0.12398,            0.064777,            0.019953,           0.0059887,            0.009175,            0.009175,            0.009175
                  27,            0.058915,              0.0263,           0.0056702,             0.70567,             0.36313,             0.38946,             0.13452,            0.059946,            0.022367,           0.0069893,            0.009142,            0.009142,            0.009142
                  28,            0.059265,            0.027997,            0.005103,             0.67667,             0.38907,             0.40703,             0.14474,            0.061987,            0.022549,           0.0062931,            0.009109,            0.009109,            0.009109
                  29,            0.059868,            0.026071,           0.0051727,             0.71437,             0.37386,             0.39846,             0.15069,            0.061568,            0.021423,           0.0073784,            0.009076,            0.009076,            0.009076
                  30,            0.059873,            0.027148,           0.0057181,             0.70469,             0.35791,              0.3928,             0.14296,            0.061939,            0.021457,           0.0084847,            0.009043,            0.009043,            0.009043
                  31,            0.058116,            0.027713,           0.0049197,             0.53841,              0.4318,             0.45953,             0.17322,            0.059014,            0.020883,           0.0054119,             0.00901,             0.00901,             0.00901
                  32,            0.057769,            0.025373,            0.004553,             0.69428,             0.43059,             0.42374,              0.1396,            0.061169,            0.020432,           0.0051186,            0.008977,            0.008977,            0.008977
                  33,            0.055476,            0.025157,           0.0042847,             0.63388,             0.51176,             0.50406,             0.18811,             0.05907,             0.02046,           0.0046165,            0.008944,            0.008944,            0.008944
                  34,            0.056498,            0.024981,           0.0039047,             0.42816,             0.40313,             0.40728,             0.12078,            0.062084,            0.019461,           0.0058651,            0.008911,            0.008911,            0.008911
                  35,            0.054615,            0.024189,           0.0047638,             0.51726,             0.44959,             0.49674,             0.17149,            0.058252,            0.019964,            0.004866,            0.008878,            0.008878,            0.008878
                  36,            0.056077,            0.025852,           0.0044565,             0.56321,             0.48694,             0.48174,             0.16467,            0.057944,            0.019917,           0.0044571,            0.008845,            0.008845,            0.008845
                  37,            0.054835,            0.025915,           0.0037141,             0.43806,             0.50849,               0.459,             0.14348,            0.061803,            0.019143,            0.004236,            0.008812,            0.008812,            0.008812
                  38,            0.054799,            0.025934,           0.0034306,             0.39476,             0.56884,             0.50409,             0.19273,            0.058332,            0.020208,           0.0053329,            0.008779,            0.008779,            0.008779
                  39,            0.055154,            0.024678,           0.0032122,             0.47219,             0.52264,             0.49279,             0.19133,            0.056693,            0.020976,           0.0050282,            0.008746,            0.008746,            0.008746
                  40,            0.053772,            0.026235,           0.0029646,             0.38749,             0.55946,              0.4812,             0.16605,            0.057044,            0.020383,           0.0055096,            0.008713,            0.008713,            0.008713
                  41,            0.053817,            0.025178,            0.003354,             0.47965,             0.49403,             0.44237,             0.16136,            0.059566,            0.020323,           0.0051678,             0.00868,             0.00868,             0.00868
                  42,            0.052894,            0.024922,           0.0032173,             0.61526,             0.50166,             0.54571,             0.20752,            0.056294,            0.020156,           0.0048943,            0.008647,            0.008647,            0.008647
                  43,            0.053468,            0.024753,           0.0032257,             0.61118,             0.54143,             0.54787,             0.20331,            0.056555,            0.021079,           0.0057686,            0.008614,            0.008614,            0.008614
                  44,            0.053439,            0.024752,           0.0027385,              0.5548,             0.50496,             0.52174,             0.18839,            0.058582,             0.02024,           0.0052475,            0.008581,            0.008581,            0.008581
                  45,            0.052682,            0.024336,           0.0028991,             0.48228,              0.5914,             0.53579,             0.20154,            0.057162,            0.019942,           0.0044838,            0.008548,            0.008548,            0.008548
                  46,            0.054649,            0.024568,           0.0035071,             0.56317,             0.50071,             0.53026,             0.21231,            0.058405,            0.020163,           0.0068588,            0.008515,            0.008515,            0.008515
                  47,            0.051178,            0.024182,           0.0024417,             0.66698,             0.47974,              0.5489,             0.22328,            0.058871,            0.020535,           0.0060341,            0.008482,            0.008482,            0.008482
                  48,            0.051634,            0.023895,           0.0028219,               0.548,             0.57185,             0.55216,             0.21791,            0.056864,            0.020579,           0.0052879,            0.008449,            0.008449,            0.008449
                  49,            0.054155,            0.026192,           0.0026682,             0.64589,             0.49798,             0.55341,             0.20776,             0.05399,            0.020372,           0.0065666,            0.008416,            0.008416,            0.008416
                  50,            0.051616,            0.025537,           0.0026742,             0.74132,             0.47549,             0.50437,             0.18614,            0.057748,            0.020239,            0.005402,            0.008383,            0.008383,            0.008383
                  51,            0.051922,            0.024253,           0.0028374,             0.48453,             0.58156,              0.5275,             0.20674,            0.057632,            0.020757,           0.0051491,             0.00835,             0.00835,             0.00835
                  52,            0.052032,            0.025257,           0.0024009,             0.62746,             0.55946,             0.54016,             0.19459,            0.056021,            0.020341,           0.0039986,            0.008317,            0.008317,            0.008317
                  53,            0.049405,             0.02391,           0.0026167,             0.56983,              0.6313,             0.56478,             0.20468,            0.055881,            0.019694,           0.0041397,            0.008284,            0.008284,            0.008284
                  54,             0.05084,            0.023785,           0.0027648,              0.6261,             0.61937,             0.60941,             0.22179,            0.056064,            0.020061,           0.0044144,            0.008251,            0.008251,            0.008251
                  55,            0.050137,            0.024457,           0.0021738,             0.67669,              0.5581,              0.5928,              0.2168,            0.054943,            0.020676,           0.0048718,            0.008218,            0.008218,            0.008218
                  56,            0.050246,            0.023916,            0.002561,             0.60676,             0.56128,             0.51864,             0.19188,            0.058044,            0.019805,           0.0044739,            0.008185,            0.008185,            0.008185
                  57,            0.051123,            0.023178,           0.0024534,             0.60515,             0.50577,             0.47291,             0.16376,             0.06455,            0.019861,           0.0049484,            0.008152,            0.008152,            0.008152
                  58,             0.05223,            0.022528,            0.002596,             0.62985,             0.57179,             0.57521,             0.23205,            0.054086,            0.020669,           0.0047882,            0.008119,            0.008119,            0.008119
                  59,            0.049447,             0.02279,           0.0023091,             0.74175,              0.5293,             0.55233,             0.20471,            0.055855,            0.019989,           0.0062355,            0.008086,            0.008086,            0.008086
                  60,            0.050676,            0.024483,           0.0023625,             0.60332,             0.46818,             0.52358,             0.21374,             0.05377,             0.02039,           0.0065289,            0.008053,            0.008053,            0.008053
                  61,            0.047958,            0.023874,           0.0023461,             0.50451,             0.46478,             0.48676,             0.19349,            0.055337,            0.020922,           0.0067402,             0.00802,             0.00802,             0.00802
                  62,            0.049731,             0.02482,           0.0020514,             0.71449,             0.52981,             0.61647,              0.2278,            0.056667,            0.020226,           0.0046825,            0.007987,            0.007987,            0.007987
                  63,            0.047589,            0.023314,           0.0020009,             0.57266,             0.61306,             0.60098,             0.24253,             0.05509,            0.021095,            0.004591,            0.007954,            0.007954,            0.007954
                  64,            0.049222,            0.023845,           0.0021236,             0.66195,             0.52911,             0.55549,               0.188,            0.058834,            0.019989,           0.0057312,            0.007921,            0.007921,            0.007921
                  65,            0.047869,            0.024472,           0.0019326,             0.55368,             0.38469,              0.4817,              0.1628,            0.058081,            0.019457,           0.0053688,            0.007888,            0.007888,            0.007888
                  66,            0.050023,            0.023407,           0.0020821,             0.60316,             0.59182,             0.60509,             0.26196,             0.05501,            0.020237,           0.0034809,            0.007855,            0.007855,            0.007855
                  67,            0.049184,            0.023609,            0.001951,             0.51115,             0.55347,             0.52259,             0.20355,            0.055098,            0.020505,           0.0043219,            0.007822,            0.007822,            0.007822
                  68,            0.047767,            0.023601,           0.0019347,             0.47606,             0.64001,              0.5854,             0.24328,            0.054862,            0.020233,            0.004056,            0.007789,            0.007789,            0.007789
                  69,            0.046916,            0.022885,           0.0021251,             0.60113,             0.60373,              0.5667,             0.22021,            0.055355,             0.02046,           0.0051241,            0.007756,            0.007756,            0.007756
                  70,            0.048328,             0.02189,           0.0020154,             0.70574,             0.57193,             0.60089,             0.25009,            0.055292,            0.020914,           0.0041658,            0.007723,            0.007723,            0.007723
                  71,            0.047074,            0.024226,           0.0018723,              0.7977,             0.53725,             0.61782,             0.29012,            0.054313,            0.021824,            0.004591,             0.00769,             0.00769,             0.00769
                  72,            0.047721,            0.023622,           0.0018599,             0.67862,             0.55951,             0.61258,             0.26865,            0.056517,            0.021834,           0.0052488,            0.007657,            0.007657,            0.007657
